Skills,Category
Log analysis,Programming Debugging & Engineering Fundamentals
Metrics/monitoring interpretation,Programming Debugging & Engineering Fundamentals
Observability,Programming Debugging & Engineering Fundamentals
Performance profiling,Programming Debugging & Engineering Fundamentals
Regression analysis,Programming Debugging & Engineering Fundamentals
Root cause analysis,Programming Debugging & Engineering Fundamentals
Distributed tracing,Platform CI/CD & Infrastructure
Hybrid cloud interactions (on-prem <-> cloud),Platform CI/CD & Infrastructure
Multi-device automation labs,Platform CI/CD & Infrastructure
VM-based testbeds,Platform CI/CD & Infrastructure
Docker,Platform CI/CD & Infrastructure
Environment management,Platform CI/CD & Infrastructure
Linux command-line,Platform CI/CD & Infrastructure
TCP/IP fundamentals,Platform CI/CD & Infrastructure
Bash,Programming Debugging & Engineering Fundamentals
C,Programming Debugging & Engineering Fundamentals
C++,Programming Debugging & Engineering Fundamentals
Groovy,Programming Debugging & Engineering Fundamentals
Java,Programming Debugging & Engineering Fundamentals
JavaScript,Programming Debugging & Engineering Fundamentals
Python,Programming Debugging & Engineering Fundamentals
Shell scripting,Programming Debugging & Engineering Fundamentals
TypeScript,Programming Debugging & Engineering Fundamentals
Exploratory testing,Automation Architecture & Quality
Integration testing,Automation Architecture & Quality
Issue triage,Automation Architecture & Quality
Quality strategy,Automation Architecture & Quality
Release readiness,Automation Architecture & Quality
Requirements/testability analysis,Automation Architecture & Quality
Acceptance testing,Automation Architecture & Quality
Android UI automation (ADB),Automation Architecture & Quality
Android UI automation (UI Automator),Automation Architecture & Quality
API contract/schema validation,Automation Architecture & Quality
Automation testing,Automation Architecture & Quality
CLI automation,Automation Architecture & Quality
End-to-end testing,Automation Architecture & Quality
Functional testing,Automation Architecture & Quality
JUnit 4,Automation Architecture & Quality
JUnit 5,Automation Architecture & Quality
Multi-environment compatibility testing,Automation Architecture & Quality
Parallel execution,Automation Architecture & Quality
Regression testing,Automation Architecture & Quality
REST API testing,Automation Architecture & Quality
Risk-based testing,Automation Architecture & Quality
Service-layer automation (Serial),Automation Architecture & Quality
Service-layer automation (SSH),Automation Architecture & Quality
Service-layer automation (Telnet),Automation Architecture & Quality
Smoke testing,Automation Architecture & Quality
Spock,Automation Architecture & Quality
System testing,Automation Architecture & Quality
ADB,Automation Architecture & Quality
Automation Architecture,Automation Architecture & Quality
Automation Strategy,Automation Architecture & Quality
Capability-Driven Design,Automation Architecture & Quality
Code Review,Technical Leadership & Collaboration
Dependency Management,Platform CI/CD & Infrastructure
Developer Tooling,Platform CI/CD & Infrastructure
Distributed Execution,Platform CI/CD & Infrastructure
Distributed Systems,Platform CI/CD & Infrastructure
Framework Design,Automation Architecture & Quality
Distributed Lab Infrastructure,Platform CI/CD & Infrastructure
Logging,Programming Debugging & Engineering Fundamentals
Playwright,Automation Architecture & Quality
Process Design,Technical Leadership & Collaboration
Prototype Design,Automation Architecture & Quality
Pytest,Automation Architecture & Quality
REST/SOAP Integration,Automation Architecture & Quality
Technical Leadership,Technical Leadership & Collaboration
Telnet/CLI Automation,Automation Architecture & Quality
Test Lab Automation,Automation Architecture & Quality
UI & Model-Agnostic Abstractions,Automation Architecture & Quality
Web UI Automation,Automation Architecture & Quality
Hardware Abstraction,Automation Architecture & Quality
SIP,Automation Architecture & Quality
H.323,Automation Architecture & Quality
MCU,Automation Architecture & Quality
Multi-protocol Interop,Automation Architecture & Quality
